站点,产品别,CVD100,CVD200,CVD300,CVD400,CVD500,CVD600,CVD700,CVD800,CVD900,CVDA00,CVDB00,CVDC00,CVDD00
2200,27500,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y
2200,31500,,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y
2200,39000,,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y
2200,42500,,Y,Y,,,Y,Y,Y,,,,Y,Y
2200,48500,,Y,Y,,Y,Y,Y,,,,,,Y
2200,49500,,Y,Y,,Y,Y,,,,,,,Y
2200,54600,,Y,Y,,Y,Y,Y,,,,,Y,Y
2200,65500,,,,,Y,Y,Y,Y,Y,,,Y,Y
4200,27500,Y,,Y,Y,,Y,,,,Y,,,Y
4200,31500,Y,,,Y,,Y,,,,Y,Y,Y,Y
4200,39000,Y,,,Y,,Y,,,,Y,Y,Y,Y
4200,42500,Y,,,Y,,,,,,Y,Y,Y,Y
4200,48500,Y,,,Y,,,,,,Y,Y,Y,Y
4200,49500,Y,,,Y,,,Y,,,,Y,Y,Y
4200,54600,Y,,,Y,,,,,,Y,Y,Y,Y
4200,65500,Y,,Y,Y,,Y,,,,Y,Y,Y,Y
