站点,产品别,PHL100,PHL200,PHL300,PHL400,PHL500,PHL600,PHL700,PHL800,PHL900,PHLA00,PHLB00,PHLC00,PHLD00
1300,27500,Y,,,Y,,,,,,,,,
1300,31500,Y,Y,,Y,Y,,,,,,,,
1300,39000,Y,Y,,Y,Y,,,,,,,,
1300,42500,Y,,,Y,,,,,,,,,
1300,48500,,,Y,,Y,,,,,,,,
1300,49500,,Y,Y,,,,,,,,,,
1300,54600,Y,,Y,Y,,,,,,,,,
1300,65500,,,,Y,,,,,,,,,
3300,27500,,,,,,,,,,,Y,Y,
3300,31500,,,,,,,,,,Y,Y,Y,Y
3300,39000,,,,,,,Y,,,Y,Y,Y,Y
3300,42500,,,,,,,Y,,,,Y,Y,
3300,48500,,,,,,,Y,,,,,,
3300,49500,,,,,,,Y,,,,,,
3300,54600,,,,,,,,,,,,Y,
3300,65500,,,,,,,,,,,Y,Y,Y
4300,27500,Y,,,Y,,,,Y,,Y,Y,,Y
4300,31500,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y
4300,39000,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y
4300,42500,Y,,,Y,,Y,,,,Y,Y,,Y
4300,48500,,Y,Y,,Y,,,,,,,,
4300,49500,,Y,Y,,Y,,,,,,,,
4300,54600,,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y
4300,65500,,Y,,,,Y,,,Y,,,,Y
5300,27500,,,,,,Y,,Y,,,,,
5300,31500,Y,,,,,Y,,,,Y,Y,Y,Y
5300,39000,Y,,Y,,,Y,,Y,Y,Y,Y,Y,Y
5300,42500,,,,,,Y,,Y,,Y,,,
5300,48500,,,,,,Y,,,,Y,,,
5300,49500,,,,,,,,Y,Y,Y,,,
5300,54600,,,,,,,,Y,,Y,,,Y
5300,65500,,,,,,,,Y,,,,,
