站点,产品别,STR100,STR200,STR300,STR400,STR500,STR600,STR700,STR800,STR900,STRA00
1800,27500,Y,,,,,,Y,,,Y
1800,31500,Y,Y,,,,,Y,,,Y
1800,39000,Y,Y,,,,,Y,,,Y
1800,42500,Y,Y,,,,,Y,,,Y
1800,48500,,Y,,,,,Y,,,Y
1800,49500,Y,Y,,,,,Y,,,Y
1800,54600,Y,Y,,,,,Y,,,Y
1800,65500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3800,27500,Y,,,Y,Y,,,,,Y
3800,31500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3800,39000,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3800,42500,,,Y,Y,Y,Y,Y,Y,Y,Y
3800,48500,Y,,,Y,Y,Y,Y,Y,Y,Y
3800,49500,,,,,Y,Y,,,Y,Y
3800,54600,,,,,Y,Y,,,,Y
3800,65500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
4800,27500,,,Y,Y,,Y,,,Y,
4800,31500,,,Y,Y,,Y,,,Y,
4800,39000,,,Y,Y,,Y,,,Y,
4800,42500,,,Y,Y,,Y,,,Y,
4800,48500,,,Y,Y,,,,,Y,
4800,49500,,,Y,Y,,,,,Y,
4800,54600,Y,,Y,Y,,Y,,,Y,
4800,65500,Y,,Y,Y,Y,Y,Y,,Y,Y
5800,27500,,,Y,Y,Y,Y,,Y,,
5800,31500,,,Y,Y,Y,Y,,Y,Y,
5800,39000,,,Y,Y,Y,Y,,Y,Y,
5800,42500,,,Y,Y,Y,Y,,Y,Y,
5800,48500,,,,Y,Y,Y,,Y,Y,
5800,49500,,,,Y,Y,Y,,Y,Y,
5800,54600,,,,Y,Y,Y,,Y,Y,
5800,65500,,Y,Y,Y,Y,Y,Y,Y,Y,Y
